type	x	y
3	0	0
1	60	0
2	120	0
3	180	0
1	240	0
2	300	0
2	360	0
3	420	0
3	480	0
3	540	0
3	600	0
3	660	0
1	720	0
3	0	120
2	60	120
1	120	120
2	180	120
3	240	120
1	300	120
1	360	120
3	420	120
1	480	120
2	540	120
3	600	120
3	660	120
2	720	120
1	0	240
2	60	240
3	120	240
3	180	240
2	240	240
2	300	240
2	360	240
2	420	240
1	480	240
1	540	240
2	600	240
2	660	240
2	720	240
1	0	360
1	60	360
3	120	360
1	180	360
1	240	360
3	300	360
1	360	360
1	420	360
1	480	360
3	540	360
2	600	360
3	660	360
1	720	360
3	0	480
1	60	480
1	120	480
3	180	480
3	240	480
2	300	480
1	360	480
3	420	480
3	480	480
1	540	480
3	600	480
1	660	480
2	720	480
